hack-sign	.hack
dragon-ball-super	Dragon Ball Super
dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka	Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
divine-gate	Divine Gate
durarara-x2-ten	Durarara!!x2 Ten
death-note-relight	Death Note Rewrite
durarara-x2-ketsu	Durarara!!x2 Ketsu
dagashi-kashi	Dagashi Kashi
danchigai	Danchigai
danganronpa-kibou-no-gakuen-to-zetsubou-no-koukousei-the-animation	Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
dimension-w	Dimension W
dame-x-prince-anime-caravan	Dame x Prince Anime Caravan
death-march-kara-hajimaru-isekai-kyousoukyoku	Death March kara Hajimaru Isekai Kyousoukyoku
densetsu-no-yuusha-no-densetsu	Densetsu no Yuusha no Densetsu
di-gi-charat	Di Gi Charat
dagashi-kashi-2	Dagashi Kashi 2
divergence-eve	Divergence Eve
darling-in-the-franxx	Darling in the FranXX
digimon-adventure-tri-2	Digimon Adventure tri. 2: Ketsui
divergence-eve-2-misaki-chronicles	Divergence Eve 2: Misaki Chronicles
digimon-adventure-tri-3	Digimon Adventure tri. 3: Kokuhaku
dear-boys	Dear Boys
d-gray-man-hallow	D.Gray-man Hallow
dragon-drive	Dragon Drive
danganronpa-3-the-end-of-kibougamine-gakuen-mirai-hen	Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen
d-n-angel	D.N.Angel
da-capo-3	D.C.III: Da Capo III
dears	DearS
danganronpa-3-the-end-of-kibougamine-gakuen-zetsubou-hen	Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen
dive	Dive!!
dragon-ball-kai-mirai-ni-heiwa-wo-goku-no-tamashii-yo-eien-ni	Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni
days	Days
detective-conan-movie-19	Detective Conan Movie 19: The Hellfire Sunflowers
drifters	Drifters
dog-days	Dog Days
dog-days-s2	Dog Days&#039;
demi-chan-wa-kataritai	Demi-chan wa Kataritai
dna-2	DNA²
durarara	Durarara!!
dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka-gaiden-sword-oratoria	Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria
digimon-adventure-tri-4	Digimon Adventure tri. 4: Soushitsu
danna-ga-nani-wo-itteiru-ka-wakaranai-ken-2-sure-me	Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me
the-severing-crime-edge	Dansai Bunri no Crime Edge
demi-chan-wa-kataritai-demi-chan-no-natsuyasumi	Demi-chan wa Kataritai: Demi-chan no Natsuyasumi
dragon-crisis	Dragon Crisis!
dream-festival-r	Dream Festival! R
digimon-adventure-tri	Digimon Adventure tri. 1: Saikai
date-a-live	Date A Live
date-a-live-2	Date A Live II
dirty-pair	Dirty Pair
dream-festival	Dream Festival!
da-capo-ii	D.C.II: Da Capo II
da-capo-ii-second-season	D.C.II S.S.: Da Capo II Second Season
detective-conan-movie-16	Detective Conan Movie 16: The Eleventh Striker
detective-conan-movie-17	Detective Conan Movie 17: Private Eye in the Distant Sea
detective-conan-movie-18	Detective Conan Movie 18: The Sniper from Another Dimension
damekko-doubutsu	Damekko Doubutsu
durarara-x2-ten-onoroke-chakapoko	Durarara!!x2 Ten: Onoroke Chakapoko
detective-conan-movie-01	Detective Conan Movie 01: The Timed Skyscraper
dies-irae	Dies Irae
death-note	Death Note
date-a-live-movie-mayuri-judgment	Date A Live Movie: Mayuri Judgment
dies-irae-episode-0	Dies Irae Episode 0
dantalian-no-shoka	Dantalian no Shoka
danganronpa-3-the-end-of-kibougamine-gakuen-kibou-hen	Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen
dakara-boku-wa-h-ga-dekinai	Dakara Boku wa, H ga Dekinai.
dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka-ova	Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA
dynamic-chord	Dynamic Chord
digimon-adventure	Digimon Adventure
dareka-no-manazashi	Dareka no Manazashi
durarara-x2-shou	Durarara!!x2 Shou
diamond-no-ace	Diamond no Ace
dragon-ball-z-movie-15-resurrection-f	Dragon Ball Z Movie 15: Fukkatsu no F
d-frag-ova	D-Frag! OVA
danna-ga-nani-wo-itteiru-ka-wakaranai-ken	Danna ga Nani wo Itteiru ka Wakaranai Ken
d-gray-man	D.Gray-man
dragon-ball-gt	Dragon Ball GT
daa-daa-daa	Daa! Daa! Daa!
dan-doh	Dan Doh!!
detroit-metal-city	Detroit Metal City
detroit-metal-city-birth-of-the-metal-devil	Detroit Metal City: Birth of the Metal Devil
digimon-adventure-tri-5	Digimon Adventure tri. 5: Kyousei
dragon-ball	Dragon Ball
dennou-coil	Dennou Coil
detective-conan-movie-08	Detective Conan Movie 08: Magician of the Silver Sky
detective-conan-movie-09	Detective Conan Movie 09: Strategy Above the Depths
detective-conan-movie-10	Detective Conan Movie 10: Requiem of the Detectives
death-billiards	Death Billiards
detective-conan-movie-12	Detective Conan Movie 12: Full Score of Fear
denshin-mamotte-shugogetten	Denshin Mamotte Shugogetten
death-parade	Death Parade
detective-conan-movie-13	Detective Conan Movie 13: The Raven Chaser
digimon-frontier	Digimon Frontier
daily-lives-of-high-school-boys	Danshi Koukousei no Nichijou
detective-conan-movie-15	Detective Conan Movie 15: Quarter of Silence
digimon-frontier-revival-of-the-ancient-digimon	Digimon Frontier: Ornismon Fukkatsu!!
daily-lives-of-high-school-boys-specials	Danshi Koukousei no Nichijou Specials
tower-of-druaga-the-aegis-of-uruk	Druaga no Tou: The Aegis of Uruk
darker-than-black	Darker than Black: Kuro no Keiyakusha
deadman-wonderland	Deadman Wonderland
tower-of-druaga-the-aegis-of-uruk-jils-adventure	Druaga no Tou: The Aegis of Uruk - Jil no Bouken
darker-than-black-kuro-no-keiyakusha-gaiden	Darker than Black: Kuro no Keiyakusha Gaiden
tower-of-druaga-the-sword-of-uruk	Druaga no Tou: The Sword of Uruk
darker-than-black-ryuusei-no-gemini	Darker than Black: Ryuusei no Gemini
denpa-onna-to-seishun-otoko	Denpa Onna to Seishun Otoko
detective-conan-movie-21	Detective Conan Movie 21: The Crimson Love Letter
denpa-kyoushi	Denpa Kyoushi (TV)
donten-ni-warau	Donten ni Warau
devil-survivor-2-the-animation	Devil Survivor 2 The Animation
densetsu-no-yuusha-no-densetsu-iris-report	Densetsu no Yuusha no Densetsu: Iris Report
danchigai-ova	Danchigai Special
dantalian-no-shoka-ibarahime	Dantalian no Shoka: Ibarahime
durarara-x2-shou-watashi-no-kokoro-wa-nabe-moyou	Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou
d-frag	D-Frag!
elfen-lied-special	Elfen Lied Special
evangelion-1.0-you-are-not-alone	Evangelion: 1.0 You Are (Not) Alone
